name,date,likes,comment,sentiment,source
yo.__________.yoo,24/02/20 23:05:48,0,5 deux jours ykhlsso,-1,insta
bassmanosa7608,25/02/20 00:52:57,0,كلي 5 جيقا بزاف☹ انا تكمل في يومين,-1,insta
good_g_irl,25/02/20 06:03:38,0,سما نكونيكتو ب 5جيڨا شهر تبقا 5 هكا؟؟,0,insta
gtd.youcef,25/02/20 07:44:23,0,nchallah b rabi rak fahem😂,0,insta
dr_abdessalem,25/02/20 07:55:02,0,💩💩💩💩💩,-1,insta
bushra.mbel,25/02/20 08:34:49,0,W hedi ta3 500da whdha esq djeezy illimité 1 mois ?,0,insta
maz_dz_21,25/02/20 09:29:30,1,لي عندو صحبتو عندها موبيليس ولا اوريدو 500 تاعكم تروح في نص ساعة واش من شهر لي نحكو عليه ههه,0,insta
para_maithe,25/02/20 10:40:30,0,Svp abonné la page Pretty princess8814,0,insta
mohamed_bizaaaaaar,25/02/20 10:57:33,0,بهدلندتونا يا جيوي بهذا العرض,-1,insta
houcine_mine,25/02/20 13:24:44,0,H bal c mieux,0,insta
overlord6995,25/02/20 14:41:28,0,كونيكسيو تاعكم تروح على 21:00 وراكم تتمنيكو نيك زبي,-1,insta
ninacho_96,25/02/20 19:22:36,0,c pour quand le lancement!,0,insta
tino92i,25/02/20 22:05:49,0,Rani hab nhabes l'abonnement teb9ali la puce nrml yek ?,0,insta
medali10,25/02/20 22:06:48,0,"500 da wela 3000 da , kif kif rani dayer special 2000 da/ mois jamais consomit forfait internet ,indoor ta3kom zero",0,insta
moha_medtig1399,25/02/20 22:26:40,0,Waaaaaaaaw ces bien,1,insta
_moh_turky_,25/02/20 22:57:14,0,🤲 nchalh  lconixou🌐  tkon  kfifa,0,insta
koki_benz,25/02/20 23:13:49,2,cette puce n'a aucun sens Je préfère l’offre imtiyaz avec 600=12gb+ilimité djezzy+1500da/mois,-1,insta
walid_yesso,26/02/20 12:02:42,0,Rakom ghi Tachéklo 3linà 😝😅,-1,insta
khadouj_dodda,26/02/20 13:21:19,0,Vive oredoo 1000da 20go 4000da hadrra l tous les rèseaux hadrra illimité mn oredoo l eredoo 👌🏻,-1,insta
aliaa_sama,27/02/20 16:16:07,0,Ch7al la puce svp je veut dire ki tachriha ?,0,insta
sohaibboufedji.1412,28/02/20 20:25:01,0,ميش افار ادي حكايتك نفليكسي لوريدو بمئة عشرين جيغا ربعمية الف هدرة🙂,-1,insta
khalil.keros,29/02/20 03:22:03,0,Kifh hedi wlh la fehmt,0,insta
mls_wahiba,03/03/20 13:33:33,0,ولله غير اني نفلكسي1500يعطيني 5 جيغا كانت 40جيغا رجعوهالي5جيغا,-1,insta
katia__da,11/03/20 15:23:34,0,+ felxy net ? Qui veux dire ??,0,insta
djezzy.dz,09/03/20 13:36:06,1126,مع  DJEZZY APP تقدر دير بزّاف حوايج 😍! ما عندك غير تحمّلها 📱👀 قولولنا فالتعليقات واش من عرض شريتوه بالتطبيق,0,insta
smail_habchi,09/03/20 13:38:21,4,زيدو مدونا أنترنت باطل لي يسجل فيها,0,insta
_mouh_rouh_,09/03/20 13:42:06,0,مدولنا,0,insta
_mouh_rouh_,09/03/20 13:42:24,0,مدولنا 1g لي يسجل بيها تعيشوا,0,insta
_mouh_rouh_,09/03/20 13:42:42,0,❤️❤️❤️,1,insta
amelgouicemder1,09/03/20 13:43:21,1,Publication hayela,1,insta
bilel_sam_,09/03/20 13:43:54,3,غير عدلو الريزو و الانترنت و من بعد ساهل نخلصو في الفاتورات باطل,-1,insta
mido_ralph_lauren,09/03/20 13:44:13,0,Dok hadi app Nass yahdro 3liha 😒😒,-1,insta
yazanlavigne,09/03/20 13:46:59,0,"@smail_habchi true, we could definitely use some of that !",0,insta
mayaavinn,09/03/20 13:47:29,0,nchlh diro section surprise sur  izzy,0,insta
raniaaa__km,09/03/20 13:48:02,0,ريزو 0 و الانترنت تقيلة بزاف 😏😕,-1,insta
saadihallou,09/03/20 14:12:37,2,وجهكم صحيح 🙄 انترنت زبل تغطية زبل و نزيدو تديرو ابليكاسيو باش نطلعوها اذا فيها 10 ميغا لازملى ساعة باش تكمل بالريزو تاعكم,-1,insta
aymenpatou,09/03/20 14:14:18,0,سمعت بلي راكم خارجين من الجزائر علاببها راكم تزكرو فينا  لا كونيكسو لا ريزو وحنا واش سبتنا,-1,insta
marshmill0,09/03/20 14:18:21,1,👏🔥🔥🔥 20da +1gb,1,insta
midi30,09/03/20 14:40:15,0,ما شاء الله ! 😉👍,1,insta
tatifo_dz__19,09/03/20 14:42:58,2,Izzy baynaa😍,1,insta
djezzy.dz,09/03/20 19:39:07,1,@tatifo_dz__19 💪💪,1,insta
mohaaissani,09/03/20 15:06:22,0,فليكسي بواسطة البطاقة الذهبية,0,insta
walid_wadll,09/03/20 15:44:12,0,Wow 😂😂😂,1,insta
eenima,09/03/20 17:24:45,1,جازي الأسوء من كل النواحي,-1,insta
chachahadjora,09/03/20 17:34:07,0,ايه  و مبعد ايبعتونا رنتي,0,insta
anis_bouguerra_ab,09/03/20 17:41:06,0,نستناو فيكم تفهموا رواحكم بلي 4G تاعكم راهي كيشغل راهي 1G,-1,insta
larbou_0,09/03/20 19:02:37,0,Where is the dark mode 🧐,1,insta
nino__malaga,09/03/20 19:05:49,1,تطبيق الله يبارك مليح عجبني بزاااف وزيد كي تنزلو عندك 1G انترنيت باطل صالحة لمدة اسبوع 😍😍😍😜,1,insta
its_sidahmed,10/03/20 20:03:54,0,@nino__malaga 💔😒,0,insta
aliloumoumene,09/03/20 19:07:01,0,Et après ça une connexion merdique,-1,insta
chah______ra,09/03/20 19:19:38,1,Mliha had l'application bzaaf tsahel ❤️,1,insta
djezzy.dz,09/03/20 19:41:10,1,@chah______ra Merci pour votre fidélité 😁,1,insta
linda_ayten,09/03/20 20:48:19,0,عجبتني 1Go باطل,1,insta
_rifka.bjm_,09/03/20 22:07:28,0,🔥❤️,1,insta
habibmeradji_official,10/03/20 8:10:55,0,Continuer bonne courage ❤️,1,insta
islamahdouga,10/03/20 9:51:56,0,اسوء شبكة من ناحية تدفق الإنترنت  في قلب العاصمة  2G🤣,-1,insta
ameramraoui,10/03/20 13:05:12,0,أضعف شبكة وأضعف  عروض وأضعف تغطية على مستوى العالم,-1,insta
djami_sing,10/03/20 21:03:40,0,شعال دير؟,0,insta
rami__skandar,10/03/20 22:22:00,0,انا ترجعولي لوفر تاع 60 الف ربي يسهل 😂😂,0,insta
_rima._.ben_,10/03/20 23:37:18,0,عروض مليح والريزو  مهوش في كامل لبلايص مليح,-1,insta
karim_belalem,10/03/20 23:55:09,0,#izzy 🔥🔥,1,insta
raouf9607,12/03/20 6:24:09,0,أنا هدا وين راح نسييها مي فوووووور بزاف عحبتني والأنترنات نتعها طيارة ماعندي مانخير شكرا جازي,1,insta
sief__eddin_,12/03/20 19:38:28,0,❤️,1,insta
soufiane_mignon,13/03/20 02:19:48,0,Basah wach tbadel fiha mazal kolach kima rah🤔🤔,-1,insta
djezzy.dz,02/03/20 12:59:46,1634,You want some more? 😁B’300da 3endek 500da crédit zyada 🤙😍Enjoy 😉 #djezzy #izzy #dz,0,insta
bishette_,02/03/20 13:01:17,1,Lah lah 9elechtouna yeah👌,1,insta
maa_dara,02/03/20 13:41:03,1,@bishette_ بقداه شراوك برك 😒,0,insta
djezzy.dz,02/03/20 14:11:03,2,@bishette_ bishette lem9elcha te3 izzy 😎,1,insta
mayaavinn,02/03/20 13:02:23,0,bravo 👌👌 continue like that 💪💪,1,insta
callme_sch,02/03/20 13:04:33,0,"B'300da machi aendna 5go zyada?, wela doka ki nzid 300da tzid 5go et 500da credit?",0,insta
djezzy.dz,02/03/20 18:04:51,0,@ucancallme.sch khiyer w'ekhtar !  W'ila habit les 2 test9amlek 600da,0,insta
kataloni400,02/03/20 13:04:50,1,Win nal9aha ???,0,insta
djezzy.dz,02/03/20 18:02:20,0,@kataloni400 fi Kamel les points de vente dialna 😊,0,insta
samo_oussama,02/03/20 13:04:56,0,🎉🎉🎉🎉🎉,1,insta
ibrahimderbal,02/03/20 13:14:37,2,Khas nchri puce jdida?,0,insta
abdeloualim,02/03/20 13:19:30,0,😍,1,insta
maa_dara,02/03/20 13:24:50,1,اولدي عرض تافه نحيو ل 50 الف لولة مشي خير ؟ كل واحد يخير لي يحتاج😉,-1,insta
ziadb25,02/03/20 13:28:42,1,Votre est aussi merdique que votre réseau!!!!!On veut internet illimité pas 5gb!!!,-1,insta
ri_ad.kr,02/03/20 13:32:02,2,hbit ns9sik lokn nflixi 300 da n9dr nactivi hdra batel wla lazem nflixi 500 bch n9dr ndir ta3 300 da ?,0,insta
maa_dara,02/03/20 13:40:21,0,@ri_ad.kr تاكتيفي ل 50 لولا باه تقدر تاكتيفي لخرين عليها عرض فاشل 👎,-1,insta
ri_ad.kr,02/03/20 13:47:09,2,@maa_dara hfdk khoya,0,insta
nani_beg,02/03/20 13:51:15,1,👎👎👎👎👎,-1,insta
maa_dara,02/03/20 13:40:21,0,@ri_ad.kr تاكتيفي ل 50 لولا باه تقدر تاكتيفي لخرين عليها عرض فاشل 👎,-1,insta
maa_dara,02/03/20 13:41:03,1,@bishette_ بقداه شراوك برك 😒,0,insta
ri_ad.kr,02/03/20 13:47:09,2,@maa_dara hfdk khoya,0,insta
nani_beg,02/03/20 13:51:15,1,👎👎👎👎👎,-1,insta
djezzy.dz,02/03/20 14:11:03,2,@bishette_ bishette lem9elcha te3 izzy 😎,1,insta
hees_na,02/03/20 14:55:38,0,Bon fhmoni ida tchriha b 600 w fiha 5G,0,insta
hees_na,02/03/20 14:55:53,0,Wela tchriha b 300 w tflixilha!!!,0,insta
hees_na,07/03/20 16:51:29,0,@a._89s dcr mrc,0,insta
hees_na,07/03/20 16:52:07,0,@a._89s apres chaque mois tflixi 500da bla mtchri puss jdida!!,0,insta
a._89s,07/03/20 18:36:27,0,@hees_na pass prv,0,insta
htaminoe,02/03/20 16:48:44,1,Mzlt kyna?,0,insta
new_me_ouassim,02/03/20 17:26:34,0,@bounouamedrayane 😆😆 la veste 🧥 t7lbnalh,0,insta
djezzy.dz,02/03/20 18:02:20,0,@kataloni400 fi Kamel les points de vente dialna 😊,0,insta
djezzy.dz,02/03/20 18:04:51,0,@ucancallme.sch khiyer w'ekhtar !  W'ila habit les 2 test9amlek 600da,0,insta
djidji_bess,02/03/20 19:31:28,0,Explain to me how to do this ?,0,insta
itsaminedahas,02/03/20 22:18:05,1,الكنوكسيون راهي ثقيلة على سيري تع سلطان قورصو ديرولها حال يرحم باباكم 😕,-1,insta
kymo_dz,03/03/20 9:16:42,0,Negatif,-1,insta
x_x_samy_x_,04/03/20 11:18:44,0,Mi Chehal Tahkeem La Pus,0,insta
x_x_samy_x_,04/03/20 11:19:20,0,1ans b offer Hada ?,0,insta
a._89s,07/03/20 16:45:16,1,@hees_na tchriha b 300 w bach tjik 5g w 500da crédit il faut tzid 500da ça fait 800da bin kolchi,-1,insta
hees_na,07/03/20 16:51:29,0,@a._89s dcr mrc,0,insta
hees_na,07/03/20 16:52:07,0,@a._89s apres chaque mois tflixi 500da bla mtchri puss jdida!!,0,insta
a._89s,07/03/20 18:36:27,0,@hees_na pass prv,0,insta
hadef_mohamed_ayoub,10/03/20 20:15:09,0,Rahi disponible f tlemcen,0,insta
nesrin_4th,13/03/20 12:04:53,0,Insta ta3 2 ème photo svpl,0,insta
_.marouaaa,13/03/20 13:39:22,0,C quoi flexy net gratuit?,0,insta
djezzy.dz,10/02/20 19:32:50,2293,You made your choice ! 👏Zid 600DA 3endek YouTube 🎬 illimité 🔥pendant un mois ! 😍Because #iZZY is unlimited 👌,0,insta
negetharrar,10/02/20 19:33:22,2,👏👏👏👏👏👏,1,insta
roumibrik,10/02/20 19:34:34,0,❤️❤️❤️❤️❤️,1,insta
ma_boukh,10/02/20 19:35:33,6,Yaw ntoma rayhin tkhrjoha fi 200 alf hhhh tasm3 ghir zid zid,-1,insta
faresxyah,10/02/20 19:35:58,2,@akramziama @kareem.kc  BOOM 💪🏻,1,insta
iheb_crg,10/02/20 19:37:12,3,Youtube illimité + 5G cnx wla bla biha,1,insta
youcef_amigo_free,10/02/20 19:41:12,6,علاش مدروش با 600دج Facebook Instagram wattsap,0,insta
abdennour_abi,10/02/20 19:43:08,1,Tzid 500 + 100 = 600 Da wla 500 + 600 =1100 Da,-1,insta
_dii.daa_,10/02/20 19:43:25,0,Et pour l'insta ? Svp est ce que ki nzidou 600da nkhyrou bin insta wla youtube illimité wla les deux à la fois ??,0,insta
wail_medbouh_7,10/02/20 19:43:56,2,نريد الشحن بالرصيد,0,insta
otto_x9,10/02/20 19:45:08,0,L buz rak fahme 😂,-1,insta
alaaa.2008,10/02/20 19:47:25,2,Hadra batel avec djezzy khirmeen youtuuube,-1,insta
mohamed.senouci,10/02/20 19:49:20,2,Mais l'offre d'instagram et facebook est mieux que youtube !!!!,-1,insta
amel_.hm,10/02/20 19:52:10,5,Sa veut dire 1100da =insta +FB + YouTube illimité ou quoi?,0,insta
djezzy.dz,10/02/20 19:53:51,2,@iheb_crg Lazem t'activy l'offre de base te3 5go à 500da ou tzid 600da Bach ikoun 3endek Youtube illimité,0,insta
djezzy.dz,10/02/20 19:54:26,2,@hafsi_youcef_free يعطيك الصحة على الإقتراح 😊,0,insta
djezzy.dz,10/02/20 19:54:41,2,@abdennour_abi 1100 😊,1,insta
djezzy.dz,10/02/20 19:57:20,0,"@ma_boukh Bessah machi lazem tzid koulech 😂 li imout 3la fb insta y'activihom, li idel ichouf les vidéos y'activy youtube illimité. Koul wahed wesh isa3dou 😁",0,insta
negetharrar,10/02/20 19:59:47,0,👏👏👏👏👏👏👏👏👏,1,insta
brahim_smacher,10/02/20 19:59:56,0,@djezzy.dz Ha fahmouna ba arab mafhamt Walou,-1,insta
kareem.kc,10/02/20 20:00:37,1,@faresxyah booom 💪🔥,0,insta
nvgxb,10/02/20 20:02:59,0,@kareem.kc yeahhhhh mennnn,1,insta
abdoamir092,10/02/20 20:11:43,0,زيد مقال زيد 😂😂,0,insta
djezzy.dz,10/02/20 20:13:08,1,@mohamed.senouci pas de panique elle est toujours dispo 😁 vous pouvez choisir l'offre qui vous convient entre Youtube et Fb+Insta,0,insta
djezzy.dz,10/02/20 20:13:56,4,@lami_____aa Hadi Hiya الديمقراطية 👀,0,insta
s_a_m_i_09,10/02/20 20:15:47,3,الجماعة لي شراو لابيس اعطونا رايكم خفيفك كونيكسيو فيها 🙏,0,insta
_its_maayyyyya_,10/02/20 20:17:54,0,@amel_.hm illimité seulment pendant 30 jours ctt,0,insta
khalil_yacef99,10/02/20 20:22:13,0,@lami_____aa  hdik khllwaha cadeaux  le 14 février offres spéciale hallbin 😌,0,insta
yacin_abboub,10/02/20 20:22:13,1,on peu stream avec ca au moin ?,0,insta
